,Config,Scheduler,Iteration,total time,cpu time,write to cpu ratio,task scheduler delay,peak JVM,total shuffle read,total shuffle write,average response time,average response time (worst10%),average response time (worst85),average response time (worst95),average response time (worst100),average proportional slowdown,average proportional slowdown (worst10%),loop1000_ average response time,loop1000_ average response time (worst 10%),loop1000_ average proportional slowdown,loop1000_ average proportional slowdown (worst 10%),loop1000_ average response time (worst 1%),loop1000_ average proportional slowdown (worst 1%),user1_big_ average response time,user1_big_ average proportional slowdown (worst 10%),user1_big_ average response time (worst 10%),user1_big_ average proportional slowdown,user2_big_ average response time,user2_big_ average proportional slowdown (worst 10%),user2_big_ average response time (worst 10%),user2_big_ average proportional slowdown,user3_big_ average response time,user3_big_ average proportional slowdown (worst 10%),user3_big_ average response time (worst 10%),user3_big_ average proportional slowdown,user4_big_ average response time,user4_big_ average proportional slowdown (worst 10%),user4_big_ average response time (worst 10%),user4_big_ average proportional slowdown,loop20_ DVR,loop20_ violation count,loop20_ DSR,loop20_ slack count,loop100_ DVR,loop100_ violation count,loop100_ DSR,loop100_ slack count,loop1000_ DVR,loop1000_ violation count,loop1000_ DSR,loop1000_ slack count,user1_big_ DVR,user1_big_ violation count,user1_big_ DSR,user1_big_ slack count,user2_big_ DVR,user2_big_ violation count,user2_big_ DSR,user2_big_ slack count,user3_big_ DVR,user3_big_ violation count,user3_big_ DSR,user3_big_ slack count,user4_big_ DVR,user4_big_ violation count,user4_big_ DSR,user4_big_ slack count,best user DVR,worst user DVR ,best user DSR,worst user DSR,Total DVR,Total violations,Total DSR,Total gains
10,4_large_users,CUSTOM_FAIR,2.0,58.06699991226196,0.0,0.0,0.0,0.601830184,4.5312e-05,4.5312e-05,13.645000010728836,15.194999933242798,13.235749999682108,14.765333414077759,15.194999933242798,1.255809673805056,1.3984630190274536,13.645000010728836,15.194999933242798,1.255809673805056,1.3984630190274536,15.194999933242798,1.3984630190274536,12.814750075340271,1.278082010392834,13.88700008392334,1.179398101821386,13.43624997138977,1.313515261551387,14.272000074386597,1.236597484827184,13.926750004291534,1.362569607174746,14.805000066757202,1.281740371293685,14.402249991893768,1.3984630190274536,15.194999933242798,1.3255027372779686,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.06616418948315142,3.0,-0.026748478883459024,1.0,0.0524383007454835,4.0,-0.06674824695653814,4.0,0.03826608606013157,8.0,-0.06674824695653814,4.0,0.04828424039000001,12.0,-0.06674824695653814,4.0,0.03826608606013157,0.06616418948315142,-0.026748478883459024,-0.06674824695653814,0.04828424039000001,12.0,-0.06674824695653814,4.0
11,4_large_users,CUSTOM_FAIR,1.0,57.49666666984558,0.0,0.0,0.0,0.5979881493333333,4.5312e-05,4.5312e-05,13.571520845095314,15.135666688283287,13.17402778069178,14.64011115498013,15.135666688283287,1.2490470613497138,1.393002318189065,13.571520845095314,15.135666688283287,1.2490470613497138,1.393002318189065,15.135666688283287,1.393002318189065,12.590583364168804,1.2333532762310233,13.401000022888184,1.1587670483796235,13.556833346684774,1.3302962021841376,14.454333384831745,1.2476953059394205,13.877166668574016,1.3513414024449106,14.683000008265175,1.2771769977059513,14.261500000953674,1.393002318189065,15.135666688283287,1.3125488933738598,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,-0.01287263328837052,1.9999999999999998,,3.0,-0.03522661535133085,5.0,,4.666666666666666,-0.03157678468534737,7.333333333333333,,7.0,-0.03160988129591615,9.0,,,-0.01287263328837052,-0.03522661535133085,,7.0,-0.03160988129591615,9.0
40,4_large_users,CUSTOM_FAIR_PARTITIONER,0.0,56.16599988937378,0.0,0.0,0.0,0.605006944,0.000243788,0.000243788,13.610750004649162,15.115000009536743,13.243000010649363,14.580333312352499,15.115000009536743,1.2526574943306026,1.39110027237925,13.610750004649162,15.115000009536743,1.2526574943306026,1.39110027237925,15.115000009536743,1.39110027237925,13.261000037193298,1.250563716269643,13.588000059127808,1.2204684586253094,13.415000021457672,1.2826837270479612,13.937000036239624,1.2346417579915947,13.832749962806702,1.3334867096403673,14.488999843597412,1.2730891319135522,13.934249997138977,1.39110027237925,15.115000009536743,1.2824306287919538,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,16.0,,0.0,0.0,20.0,,0.0,0.0,24.0,,0.0,0.0,28.0,,0.0,0.0,32.0,,,0.0,0.0,,0.0,0.0,32.0
41,4_large_users,CUSTOM_FAIR_PARTITIONER,1.0,56.371999979019165,0.0,0.0,0.0,0.649234104,0.000243788,0.000243788,13.512250021100044,15.308000087738037,12.97941666841507,15.045000076293945,15.308000087738037,1.2435921053886194,1.4088629228050285,13.512250021100044,15.308000087738037,1.2435921053886194,1.4088629228050285,15.308000087738037,1.4088629228050285,12.439999997615814,1.298513641118685,14.108999967575073,1.1449081954457514,13.980500042438507,1.392572826097434,15.13100004196167,1.2866872249264651,13.645500004291534,1.3703004867668163,14.888999938964844,1.2558556904230394,13.983000040054321,1.4088629228050285,15.308000087738037,1.2869173107592216,,0.0,,0.0,,0.0,,0.0,0.11720412977833591,8.0,-0.1331191499010509,8.0,0.11720412977833591,8.0,-0.16823853735412628,12.0,0.147740775850334,12.0,-0.16823853735412628,12.0,0.13097583878169347,14.0,-0.14928331172181308,14.0,0.11720412977833591,16.0,-0.1331191499010509,16.0,0.11720412977833591,0.147740775850334,-0.1331191499010509,-0.16823853735412628,0.11720412977833591,16.0,-0.1331191499010509,16.0
42,4_large_users,CUSTOM_FAIR_PARTITIONER,2.0,56.2720000743866,0.0,0.0,0.0,0.616931096,0.000243788,0.000243788,13.628374978899956,15.243000030517578,13.210333307584127,14.762333313624064,15.243000030517578,1.254279598628683,1.402880680182005,13.628374978899956,15.243000030517578,1.254279598628683,1.402880680182005,15.243000030517578,1.402880680182005,13.069249987602234,1.2737563769885702,13.839999914169312,1.2028208538587486,13.674499988555908,1.3455432445794173,14.620000123977661,1.2585246871801488,13.813250005245209,1.3818047893759922,15.013999938964844,1.271294464612324,13.956499934196472,1.402880680182005,15.243000030517578,1.2844783888635103,,0.0,,0.0,,0.0,,0.0,0.0506180440621258,10.0,-0.07481245875569549,6.0,0.0506180440621258,10.0,-0.08828042211807229,10.0,0.06571852845433661,14.0,-0.08828042211807229,10.0,0.061708406804327626,16.0,-0.07481245875569549,12.0,0.05061804406212581,20.0,-0.07481245875569549,12.0,0.0506180440621258,0.06571852845433661,-0.07481245875569549,-0.08828042211807229,0.05061804406212581,20.0,-0.07481245875569549,12.0
43,4_large_users,CUSTOM_FAIR_PARTITIONER,1.0,56.269999980926514,0.0,0.0,0.0,0.623724048,0.000243788,0.000243788,13.583791668216389,15.222000042597454,13.14424999554952,14.795888900756836,15.222000042597454,1.2501763994493016,1.4009479584554279,13.583791668216389,15.222000042597454,1.2501763994493016,1.4009479584554279,15.222000042597454,1.4009479584554279,12.923416674137115,1.2742779114589662,13.845666646957397,1.1893991693099364,13.690000017484032,1.340266599241604,14.56266673405965,1.2599512233660695,13.763833324114483,1.3618639952610585,14.797333240509033,1.266746428982972,13.957916657129925,1.4009479584554279,15.222000042597454,1.2846087761382285,,0.0,,0.0,,0.0,,0.0,,6.0,-0.06931053621891546,10.0,,6.0,-0.08550631982406619,14.000000000000002,,8.666666666666668,-0.08550631982406619,15.333333333333334,,10.0,-0.07469859015916952,18.0,,12.0,-0.06931053621891546,20.0,,,-0.06931053621891546,-0.08550631982406619,,12.0,-0.06931053621891546,20.0
24,4_large_users,CUSTOM_RANDOM,0.0,62.598999977111816,0.0,0.0,0.0,0.557330216,4.5312e-05,4.5312e-05,14.4159374833107,22.585999965667725,13.29658329486847,16.170000076293945,22.585999965667725,1.3267624576237353,2.0786894266870113,14.4159374833107,22.585999965667725,1.3267624576237353,2.0786894266870113,22.585999965667725,2.0786894266870113,13.54799997806549,1.3057843600166008,14.187999963760376,1.2468823319741835,14.673999965190887,1.4682251225129583,15.95300006866455,1.3505130886927326,13.902500033378601,1.5668860241468345,17.02500009536743,1.279508539264516,15.539249956607819,2.0786894266870113,22.585999965667725,1.4301458705635097,,0.0,,0.0,,0.0,,0.0,0.26050819498982164,14.0,-0.12195772530744045,2.0,0.2477489927359131,18.0,-0.12195772530744045,2.0,0.2428197770128773,22.0,-0.12195772530744045,2.0,0.22512061239356174,24.0,-0.12195772530744045,4.0,0.26050819498982164,28.0,-0.12195772530744045,4.0,0.22512061239356174,0.26050819498982164,-0.12195772530744045,-0.12195772530744045,0.26050819498982164,28.0,-0.12195772530744045,4.0
25,4_large_users,CUSTOM_RANDOM,1.0,62.47199988365173,0.0,0.0,0.0,0.586926576,4.5312e-05,4.5312e-05,14.418687522411346,22.919999837875366,13.23325002193451,16.326666752497356,22.919999837875366,1.3270155558797427,2.1094289114974334,14.418687522411346,22.919999837875366,1.3270155558797427,2.1094289114974334,22.919999837875366,2.1094289114974334,13.637499988079071,1.3018268814989198,14.144999980926514,1.2551194135639474,14.44050008058548,1.5150706485303993,16.462000131607056,1.3290230620390666,14.08525002002716,1.5439694466787706,16.776000022888184,1.296327828450339,15.511500000953674,2.1094289114974334,22.919999837875366,1.427591919465618,,0.0,,0.0,,0.0,,0.0,0.2530310744805007,15.0,-0.0883628056447531,1.0,0.24760033448655241,19.0,-0.0883628056447531,1.0,0.2397919139448202,23.0,-0.0883628056447531,1.0,0.22040988258906263,26.0,-0.0883628056447531,2.0,0.2530310744805007,30.0,-0.0883628056447531,2.0,0.22040988258906263,0.2530310744805007,-0.0883628056447531,-0.0883628056447531,0.2530310744805007,30.0,-0.0883628056447531,2.0
26,4_large_users,CUSTOM_RANDOM,2.0,62.657999992370605,0.0,0.0,0.0,0.545692848,4.5312e-05,4.5312e-05,14.384750038385391,22.598000049591064,13.28175002336502,16.059000094731648,22.598000049591064,1.3238921391915135,2.0797938474613282,14.384750038385391,22.598000049591064,1.3238921391915135,2.0797938474613282,22.598000049591064,2.0797938474613282,13.650500118732452,1.2929915811325325,14.049000024795532,1.25631587305991,14.372250020503998,1.4552482661855988,15.812000036239624,1.3227417072848924,13.963750004768372,1.5532649296820287,16.877000093460083,1.2851456449098864,15.552500009536743,2.0797938474613282,22.598000049591064,1.4313653315113655,,0.0,,0.0,,0.0,,0.0,0.25176324355228213,15.0,-0.10240175668766088,1.0,0.24779727224757428,19.0,-0.10240175668766088,1.0,0.23645218210872573,23.0,-0.10240175668766088,1.0,0.21633311313610679,26.0,-0.10240175668766088,2.0,0.25176324355228213,30.0,-0.10240175668766088,2.0,0.21633311313610679,0.25176324355228213,-0.10240175668766088,-0.10240175668766088,0.25176324355228213,30.0,-0.10240175668766088,2.0
27,4_large_users,CUSTOM_RANDOM,1.0,62.57633328437805,0.0,0.0,0.0,0.5633165466666666,4.5312e-05,4.5312e-05,14.406458348035812,22.70133328437805,13.270527780056,16.185222307840984,22.70133328437805,1.3258900508983305,2.0893040618819243,14.406458348035812,22.70133328437805,1.3258900508983305,2.0893040618819243,22.70133328437805,2.0893040618819243,13.61200002829234,1.3002009408826845,14.127333323160808,1.2527725395326803,14.495583355426788,1.4795146790763187,16.075666745503742,1.3340926193388973,13.98383335272471,1.5547068001692113,16.892666737238564,1.286994004208247,15.534416655699411,2.0893040618819243,22.70133328437805,1.4297010405134978,,0.0,,0.0,,0.0,,0.0,0.2551008376742015,14.666666666666668,-0.10424076254661815,1.3333333333333333,0.24771553315667993,18.666666666666664,-0.10424076254661815,1.3333333333333333,0.23968795768880774,22.666666666666668,-0.10424076254661815,1.3333333333333333,0.2206212027062437,25.33333333333333,-0.10424076254661815,2.6666666666666665,0.2551008376742015,29.333333333333336,-0.10424076254661815,2.6666666666666665,0.2206212027062437,0.2551008376742015,-0.10424076254661815,-0.10424076254661815,0.2551008376742015,29.333333333333336,-0.10424076254661815,2.6666666666666665
