,Config,Scheduler,Iteration,total time,cpu time,write to cpu ratio,task scheduler delay,peak JVM,total shuffle read,total shuffle write,average response time,average response time (worst10%),average response time (worst85),average response time (worst95),average response time (worst100),average proportional slowdown,average proportional slowdown (worst10%),loop100_ average response time,loop100_ average response time (worst 10%),loop100_ average proportional slowdown,loop100_ average proportional slowdown (worst 10%),loop100_ average response time (worst 1%),loop100_ average proportional slowdown (worst 1%),user1_power_ average response time,user1_power_ average proportional slowdown (worst 10%),user1_power_ average response time (worst 10%),user1_power_ average proportional slowdown,user2_power_ average response time,user2_power_ average proportional slowdown (worst 10%),user2_power_ average response time (worst 10%),user2_power_ average proportional slowdown,user3_small_ average response time,user3_small_ average proportional slowdown (worst 10%),user3_small_ average response time (worst 10%),user3_small_ average proportional slowdown,user4_small_ average response time,user4_small_ average proportional slowdown (worst 10%),user4_small_ average response time (worst 10%),user4_small_ average proportional slowdown,loop20_ DVR,loop20_ violation count,loop20_ DSR,loop20_ slack count,loop100_ DVR,loop100_ violation count,loop100_ DSR,loop100_ slack count,loop1000_ DVR,loop1000_ violation count,loop1000_ DSR,loop1000_ slack count,user1_power_ DVR,user1_power_ violation count,user1_power_ DSR,user1_power_ slack count,user2_power_ DVR,user2_power_ violation count,user2_power_ DSR,user2_power_ slack count,user3_small_ DVR,user3_small_ violation count,user3_small_ DSR,user3_small_ slack count,user4_small_ DVR,user4_small_ violation count,user4_small_ DSR,user4_small_ slack count,best user DVR,worst user DVR ,best user DSR,worst user DSR,Total DVR,Total violations,Total DSR,Total gains
45,2_power_2_small_users,CUSTOM_FAIR_PARTITIONER,1.0,141.518000125885,0.0,0.0,0.0,0.637503584,0.000472236,0.000472236,41.40096195884373,73.18488891919453,35.587673466221815,58.34322223839936,81.11220004558564,18.39225320250721,32.51216744522192,41.40096195884373,73.18488891919453,18.39225320250721,32.51216744522192,131.35900020599365,58.35584193957958,46.515287509560586,33.220846287042285,74.78012499213219,20.66427699225259,47.18895000517368,33.19208132643426,74.71537506580353,20.96354953583904,3.719833334287008,2.326077326092917,5.236000061035156,1.6525248042145746,6.399999936421712,5.035539671136558,11.334999799728394,2.843180780285078,,0.0,,0.0,0.2576355314504121,100.0,-0.17765379718876606,84.0,0.2576355314504121,100.0,-0.17765379718876606,84.0,0.2677282058772414,139.0,-0.16952495506432047,125.0,0.2699419979376045,190.0,-0.19137513259400343,154.0,0.26484993936087814,194.0,-0.1830308064072709,162.0,0.2576355314504122,200.0,-0.17765379718876606,168.0,0.2576355314504122,0.2699419979376045,-0.16952495506432047,-0.19137513259400343,0.2576355314504122,200.0,-0.17765379718876606,168.0
46,2_power_2_small_users,CUSTOM_FAIR_PARTITIONER,2.0,141.61800003051758,0.0,0.0,0.0,0.632433752,0.000472236,0.000472236,41.92936956493751,71.9627777867847,36.04640816182506,61.075777777919065,76.71360001564025,18.626996696995782,31.969248239353483,41.92936956493751,71.9627777867847,18.626996696995782,31.969248239353483,140.83100008964539,62.56374948451593,47.05902500450611,29.800588636597432,67.08112502098083,20.905830743894317,47.84843750596046,34.58507330562739,77.85100001096725,21.25652488047999,3.6805832783381143,2.2558861973549402,5.077999830245972,1.635088084557136,6.519999980926514,5.199022581184349,11.702999830245972,2.896490440216132,,0.0,,0.0,0.24209526748275212,106.0,-0.18411898104418428,78.0,0.24209526748275212,106.0,-0.18411898104418428,78.0,0.24221137638937085,151.0,-0.1797417118333,113.0,0.2534254475494472,201.0,-0.1975922320790418,143.0,0.24917978796376203,205.0,-0.18907623914558405,151.0,0.24209526748275212,212.0,-0.18411898104418425,156.0,0.24209526748275212,0.2534254475494472,-0.1797417118333,-0.1975922320790418,0.24209526748275212,212.0,-0.18411898104418425,156.0
47,2_power_2_small_users,CUSTOM_FAIR_PARTITIONER,1.0,141.4409999847412,0.0,0.0,0.0,0.6435492293333333,0.000472236,0.000472236,41.61269746310469,73.03959261046516,35.588802718251195,60.313111113913266,79.67283335526784,18.486316065350817,32.44761999576417,41.61269746310469,73.03959261046516,18.486316065350817,32.44761999576417,137.5543333689372,61.10810011947452,46.63247083524863,31.68299274763742,71.31841667493184,20.7163353332957,47.554920839269954,33.979305506246845,76.48741669456165,21.12613098146155,3.7034999860657587,2.3075669990651395,5.19433331489563,1.645268763245561,6.441916618082258,5.086924259033835,11.450666507085165,2.861802140418595,,0.0,,0.0,,68.66666666666667,-0.12059092607765012,115.33333333333334,,68.66666666666667,-0.12059092607765012,115.33333333333334,,96.66666666666667,-0.11642222229920682,167.33333333333331,,130.33333333333334,-0.12965578822434842,213.66666666666666,,133.0,-0.12403568185095165,223.00000000000003,,137.33333333333334,-0.12059092607765011,230.66666666666669,,,-0.11642222229920682,-0.12965578822434842,,137.33333333333334,-0.12059092607765011,230.66666666666669
28,2_power_2_small_users,CUSTOM_RANDOM,0.0,145.43700003623962,0.0,0.0,0.0,0.619865792,0.000362496,0.000362496,38.17386413657147,113.19750000370874,23.01892517861866,90.30381481735795,120.20059998035431,16.958624671955338,50.287649935010535,38.17386413657147,113.19750000370874,16.958624671955338,50.287649935010535,144.07500004768372,64.004886738198,41.04913749694824,50.305419805472496,113.2374999821186,18.235956240314636,36.2832250058651,50.39565750409739,113.44062504172325,16.118713907536694,19.00958341360092,23.922701085318142,53.85000014305115,8.44495042807682,50.77391666173935,50.96801415065932,114.72899985313416,22.5561602228962,,0.0,,0.0,3.213888150020323,72.0,-0.5896673205156847,112.0,3.213888150020323,72.0,-0.5896673205156847,112.0,2.5480721570020237,101.0,-0.5931576027890164,163.0,2.249107804899572,124.0,-0.5941954069955692,220.0,2.4919930372390158,133.0,-0.5891602288998974,223.0,3.213888150020323,144.0,-0.5896673205156847,224.0,2.249107804899572,3.213888150020323,-0.5891602288998974,-0.5941954069955692,3.213888150020323,144.0,-0.5896673205156847,224.0
29,2_power_2_small_users,CUSTOM_RANDOM,1.0,145.10999989509583,0.0,0.0,0.0,0.621184312,0.000362496,0.000362496,37.62360869801563,113.452055533727,22.791401366798244,87.08529628647699,122.11049997806549,16.714175343409874,50.40073546589382,37.62360869801563,113.452055533727,16.714175343409874,50.40073546589382,143.92199993133545,63.93691689530672,36.362187483906744,47.98883829896368,108.02287501096725,16.153792751624497,39.17186252474785,49.081408238739286,110.48224994540215,17.4019824632376,35.097916642824806,63.93691689530672,143.92199993133545,15.592144221601423,38.23708333571752,52.165704216230495,117.42500019073486,16.986709611602624,,0.0,,0.0,3.3115764539581143,69.0,-0.5641934886811056,115.0,3.3115764539581143,69.0,-0.5641934886811056,115.0,2.7055272958247834,91.0,-0.5615302688830359,173.0,2.3047112031088695,117.0,-0.5691259281362696,227.0,2.8295632557641035,128.0,-0.5670233209161093,228.0,3.3115764539581134,138.0,-0.5641934886811056,230.0,2.3047112031088695,3.3115764539581134,-0.5615302688830359,-0.5691259281362696,3.3115764539581134,138.0,-0.5641934886811056,230.0
30,2_power_2_small_users,CUSTOM_RANDOM,2.0,144.989000082016,0.0,0.0,0.0,0.682296984,0.000362496,0.000362496,37.60232065941977,110.90500002437167,22.802374155342985,87.66929630880003,119.98070001602173,16.704718196099403,49.269213693634676,37.60232065941977,110.90500002437167,16.704718196099403,49.269213693634676,144.0130000114441,63.977343408016026,40.56677500009537,45.699189247845645,102.86887499690056,18.02166814753237,37.272112515568736,50.60761883649651,113.91775000095367,16.55802421837793,11.455333312352499,19.99555752575,45.00999999046326,5.088997473279652,46.18766669432322,61.334962264424895,138.06500005722046,20.518732427509203,,0.0,,0.0,2.7840691397812414,67.0,-0.5503231823604267,117.0,2.7840691397812414,67.0,-0.5503231823604267,117.0,2.2534782644596514,94.0,-0.5587721667432909,170.0,2.024594275857154,115.0,-0.5572457302283434,229.0,2.068635927960529,125.0,-0.5527729362699161,231.0,2.7840691397812414,134.0,-0.5503231823604265,234.0,2.024594275857154,2.7840691397812414,-0.5503231823604265,-0.5587721667432909,2.7840691397812414,134.0,-0.5503231823604265,234.0
31,2_power_2_small_users,CUSTOM_RANDOM,1.0,145.17866667111716,0.0,0.0,0.0,0.6411156960000001,0.000362496,0.000362496,37.799931164668955,112.51818518726914,22.870900233586628,88.35280247087833,120.76393332481385,16.792506070488205,49.985866364846345,37.799931164668955,112.51818518726914,16.792506070488205,49.985866364846345,144.00333333015442,63.97304901384025,39.32603332698345,47.997815784093945,108.04308332999548,17.470472379823832,37.575733348727226,50.02822819311106,112.61354166269302,16.692906863050744,21.854277789592743,35.951725168791626,80.92733335494995,9.708697374319298,45.06622223059336,54.82289354377157,123.40633336702982,20.02053408733601,,0.0,,0.0,3.1031779145865594,69.33333333333333,-0.5680613305190724,114.66666666666667,3.1031779145865594,69.33333333333333,-0.5680613305190724,114.66666666666667,2.502359239095486,95.33333333333333,-0.5711533461384477,168.66666666666666,2.1928044279551986,118.66666666666669,-0.5735223551200607,225.33333333333331,2.463397406987883,128.66666666666666,-0.569652162028641,227.33333333333331,3.103177914586559,138.66666666666666,-0.5680613305190724,229.33333333333334,2.1928044279551986,3.103177914586559,-0.5670045600477867,-0.5740311672917099,3.103177914586559,138.66666666666666,-0.5680613305190724,229.33333333333334
0,2_power_2_small_users,CUSTOM_RANDOM_PARTITIONER,0.0,146.375,0.0,0.0,0.0,0.642534264,0.000472236,0.000472236,36.82886413905931,110.96750002437167,21.86572789821495,87.41385186160052,120.20750002861023,16.36111245626802,49.29697913121798,36.82886413905931,110.96750002437167,16.36111245626802,49.29697913121798,145.12800002098083,64.4726788187387,35.45583751797676,45.60834075386711,102.66437503695488,15.751149497102068,39.761125004291536,49.214848964704714,110.78262501955032,17.66376055277278,27.663833280404408,52.82852068205824,118.91700005531311,12.28957498018854,35.59900003671646,61.921368276527424,139.38499999046326,15.814749016755421,,0.0,,0.0,2.9793073291470518,65.0,-0.5801375454994558,119.0,2.9793073291470518,65.0,-0.5801375454994558,119.0,2.517286207599055,86.0,-0.587440582909078,178.0,2.1573981014716095,112.0,-0.590402561189249,232.0,2.614924567817965,121.0,-0.5845145728996956,235.0,2.9793073291470513,130.0,-0.5801375454994557,238.0,2.1573981014716095,2.9793073291470513,-0.5801375454994557,-0.590402561189249,2.9793073291470513,130.0,-0.5801375454994557,238.0
1,2_power_2_small_users,CUSTOM_RANDOM_PARTITIONER,1.0,147.09599995613098,0.0,0.0,0.0,0.684459688,0.000472236,0.000472236,39.1498913091162,119.95644447538588,23.218945581085826,92.01896297490156,130.58830001354218,17.392221816577607,53.290290748727614,39.1498913091162,119.95644447538588,17.392221816577607,53.290290748727614,146.56900000572205,65.1128387408805,41.014937496185304,54.209295893605145,122.0251250565052,18.22076299253012,40.978000009059905,51.07485562205473,114.96950000524521,18.204353624637896,30.695833384990692,45.081741488917245,101.47900009155273,13.636531934691552,22.98291665315628,62.69746777853505,141.13199996948242,10.210091805044993,,0.0,,0.0,2.4355788246890806,69.0,-0.5720792628420428,115.0,2.4355788246890806,69.0,-0.5720792628420428,115.0,2.1229707175234016,94.0,-0.5881590945553632,170.0,1.9199578877622616,118.0,-0.5790214846877288,226.0,2.4297721478815513,128.0,-0.5753378558218514,228.0,2.43557882468908,138.0,-0.5720792628420428,230.0,1.9199578877622616,2.43557882468908,-0.5720792628420428,-0.5881590945553632,2.43557882468908,138.0,-0.5720792628420428,230.0
2,2_power_2_small_users,CUSTOM_RANDOM_PARTITIONER,2.0,146.18200016021729,0.0,0.0,0.0,0.656969928,0.000472236,0.000472236,41.412152173726454,113.88544444243114,26.113496600365153,95.70985183009395,119.69860002994537,18.397224421913126,50.59326718899649,41.412152173726454,113.88544444243114,18.397224421913126,50.59326718899649,144.5460000038147,64.21412705633703,41.50003749728203,47.80736337868916,107.6143749654293,18.436267213363845,43.928212496638295,52.66487117821986,118.54862502217293,19.514976675539,30.61325003703435,49.247889876736366,110.85700011253357,13.599844530001933,34.85141666730245,54.57840967792661,122.85600018501282,15.482637346647023,,0.0,,0.0,3.06572273398548,74.0,-0.5642999634597878,110.0,3.06572273398548,74.0,-0.5642999634597878,110.0,2.5174600376066305,102.0,-0.5731581220387957,162.0,2.1639030340880736,131.0,-0.5726207281257262,213.0,2.656474308040809,138.0,-0.5649791333461255,218.0,3.06572273398548,148.0,-0.5642999634597877,220.0,2.1639030340880736,3.06572273398548,-0.5642999634597877,-0.5731581220387957,3.06572273398548,148.0,-0.5642999634597877,220.0
